 Imunizações - Doses Aplicadas - Brasil
Doses aplicadas por Imunobiológicos e Ano/mês
Período:1994-2018
"Imunobiológicos";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Mar";"2005/Abr";"2005/Mai";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Nov";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Ago";"2006/Set";"2006/Out";"2006/Nov";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"Total"
"Tríplice Viral (campanha) (SCR)";-;-;-;-;-;-;-;-;-;-;-;-;-;2388;477;719;-;12851411;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12854995
"Tríplice Viral (homens campanha) (SCR)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;630;310;892;542;2928304;461226;156386;108335;536797;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4193422
"Tríplice Viral (homens) (SCR)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49;107;68;15;1;132;14;53;32;379;75405;76359;82921;102127;80765;77577;64240;117181;94501;43176;32994;30337;29612;32201;41579;37935;40431;37597;35062;34693;62562;43107;51218;29630;31183;33955;45625;58742;48966;37467;36357;45633;42658;54800;119604;62342;52922;55693;58998;73070;65011;76444;73009;77173;76580;61532;56506;46719;57890;62484;73290;62476;59121;54404;49342;58129;49453;45630;40491;33183;44976;55946;82580;81178;58534;66867;75545;71855;61954;52559;50455;53458;62506;74570;58707;67469;78701;68810;61640;68509;70120;59138;61409;49740;54222;58787;70321;52484;48018;45521;50792;50201;2263081;42832;39812;28622;29424;27496;39394;38600;54245;54318;65293;83954;89450;61971;55738;42219;73947;74318;102617;73590;85288;72108;67005;70847;74070;58369;52008;40138;71934;59626;89972;99815;75342;66455;118604;9801016
"Tríplice Viral (implantação) (SRC)";-;-;-;-;-;-;551424;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;551424
"Tríplice Viral (mulheres idade fértil camp) (SCR)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;157;293;824;915;3186910;457198;144216;104239;542073;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4436825
"Tríplice Viral (mulheres idade fértil) (SCR)";-;-;-;-;-;-;-;-;64;4016;25727;30511;29762;20566;28339;44167;38800;54529;49160;41634;67300;61723;47412;51501;62248;65395;68945;76395;79310;188047;158128;117411;108995;96174;78013;76689;71328;62874;59248;62425;57736;70837;97982;463413;288925;200554;487171;332534;156232;155919;537697;214315;156567;233011;255750;259154;210726;139664;228849;147114;130624;138169;122867;123151;101797;170733;148357;81247;55833;53921;73493;60415;73872;72637;73267;63024;57322;55927;96976;69508;73016;50301;51088;53527;65268;83196;74197;62431;56416;68903;69609;88467;192661;97191;82652;85284;82998;104466;97649;114972;112851;111395;95378;90737;83014;72809;84352;88080;92402;84645;84161;74854;72097;83250;70224;70149;59414;49980;64450;76078;81143;85681;81068;87917;101590;99831;88478;76801;67677;85627;87961;118611;100300;99074;107824;93030;84179;92789;102427;80743;94980;80764;80412;87888;101982;74003;71487;62452;70224;63225;61165;62137;53864;43811;45367;49187;54804;52702;61833;63432;77866;88773;106721;70299;68968;53952;88944;94905;134236;102093;115842;98046;84761;95160;102338;80120;71414;53180;86173;72412;118792;138499;103762;87235;179070;17350769
"Tríplice Viral (seguimento) (SRC)";-;-;-;-;-;-;3483;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3483
"Imunoglobulina humana anti-Hepatite B (IGHAHB)";-;-;-;-;-;-;-;5;77;54;1080;1016;1175;1243;931;1381;906;893;797;862;872;638;943;1192;932;813;1358;774;886;910;896;803;965;1453;1123;867;951;995;929;813;1045;852;898;1040;1106;1333;1085;946;1071;944;703;737;1223;658;1039;884;983;1275;935;1063;985;1163;1214;930;1135;1038;1093;992;983;1033;1660;946;1416;1373;976;1242;1284;1114;1344;1080;1306;1439;1275;1069;1295;1700;1547;1145;1410;1381;1322;1244;1321;1062;1284;1340;1485;1343;1332;951;1141;1444;1085;1191;1169;1034;1400;1741;1647;1629;1531;1540;1528;1609;598;472;1309;1419;1619;2214;1334;1316;1292;1312;1453;1330;1543;1624;1454;895;1276;1693;1361;1273;1815;1057;1288;1349;1173;1119;1332;1270;1318;1130;1429;1222;1089;1158;1316;1153;1336;1042;1267;929;1130;1357;1003;1342;1133;1109;941;1202;876;488;722;585;670;790;643;798;637;645;224;172;73;90;57;110;153;121;157;171;137;104;5;187518
"Imunoglobulina humana anti-Rábica (IGHR)";-;-;-;-;-;-;-;7;25;22;286;470;265;361;244;216;328;434;551;493;483;357;419;344;247;391;351;237;271;413;189;2088;242;293;320;210;315;290;593;363;495;533;587;316;510;288;313;332;490;289;498;492;420;682;386;542;514;391;498;411;500;487;489;339;651;577;368;540;323;495;530;371;454;636;556;5826;439;540;536;296;551;489;503;532;382;506;649;486;361;613;686;565;548;405;639;620;765;473;543;629;698;642;467;515;635;783;748;567;561;696;619;685;764;1258;1020;621;847;785;1305;748;883;515;1161;498;713;834;929;793;1266;807;1360;1142;1126;823;1049;778;1318;1305;1100;1264;651;981;1276;1408;816;677;518;264;219;150;196;303;444;596;637;983;894;1109;745;597;406;664;468;743;532;480;294;322;428;223;412;795;736;502;341;458;798;673;758;897;222;279;192;616;571;107905
"Imunoglobulina humana anti-Tetânica (IGHAT)";-;-;-;-;-;-;-;2;19;120;452;782;683;673;555;626;784;514;434;765;794;720;526;569;1377;949;516;435;457;612;1556;1436;439;556;987;671;742;634;644;617;608;645;577;783;665;751;736;642;737;674;607;601;580;782;535;594;583;737;776;666;642;564;578;459;465;580;581;644;576;582;861;896;838;902;828;692;506;724;588;646;672;993;926;852;779;816;637;694;602;499;621;502;685;598;939;964;951;1051;623;856;906;756;1003;620;702;911;1243;797;898;906;588;929;617;951;620;501;966;693;739;524;836;946;943;587;833;724;756;831;1139;916;918;794;1465;916;1187;1147;1070;1010;766;908;672;826;1107;1164;1200;759;1009;1405;1342;1350;1406;1272;919;457;805;1644;1624;1399;1081;338;612;567;780;1128;735;518;270;579;421;349;321;451;421;410;349;299;163;166;161;161;389;206;211;125;157;129627
"Imunoglobulina humana anti-Varicela Zóster (IGHVZ)";-;-;-;-;-;-;-;-;-;26;150;124;79;52;86;555;233;156;344;445;316;132;139;96;164;114;136;151;235;452;487;598;464;200;213;125;122;68;139;235;339;826;769;904;629;336;166;113;86;118;119;244;459;428;727;655;379;283;136;91;120;137;161;217;446;309;285;814;437;285;243;173;107;152;120;345;291;357;239;269;285;255;127;104;143;53;268;223;545;624;1112;1082;534;295;178;145;226;84;164;240;432;776;641;843;595;417;304;168;261;268;174;238;281;420;389;370;500;350;227;219;127;85;155;229;536;498;801;1217;952;514;292;390;126;164;244;424;316;373;664;715;490;394;242;258;232;292;230;548;362;605;243;653;201;139;361;134;128;95;120;173;321;363;229;338;218;139;84;115;90;49;37;59;102;86;139;91;105;28;32;49;32;47;101;30;8;52324
"Soro anti-Aracnídico (AC)";-;-;-;-;-;-;-;4;13;21;253;273;258;307;257;262;189;241;292;236;347;372;419;389;260;348;310;283;240;287;239;341;352;327;530;506;551;567;394;394;309;375;409;491;428;345;513;545;504;540;335;383;356;345;444;361;361;555;452;509;385;611;396;326;308;431;350;346;490;405;435;527;502;466;482;394;379;504;538;483;662;773;711;579;789;662;720;489;499;492;478;520;635;563;902;590;671;716;700;495;387;476;492;570;658;759;779;996;742;649;687;673;572;469;625;748;925;885;815;766;575;603;673;459;490;412;379;456;457;539;452;360;282;234;194;152;166;157;141;224;218;196;279;249;197;194;209;189;121;190;168;171;228;120;149;130;89;83;116;120;108;78;162;147;118;175;93;99;102;108;123;35;53;42;88;93;111;94;105;50;37;45;35;38;35;66694
"Soro anti-Botrópico (BO)";-;-;-;-;-;-;-;237;881;354;4004;3397;3648;3616;3059;2483;2179;1698;1889;2619;3113;3067;3903;3688;4207;4136;3745;3115;2606;2170;2500;2988;3791;3617;5459;5295;6619;6070;4926;3589;3351;3349;3359;4613;5476;5698;7808;6607;7653;6615;5641;4790;3789;3407;3261;3746;4754;5227;6956;7335;7308;7965;6415;4859;4898;4055;4121;5280;6773;6599;8786;8010;8507;8427;6850;6199;5313;4906;5253;5714;7287;6753;8340;8102;9474;8489;7988;5883;5426;4469;4563;5563;6889;7486;9120;8160;9117;8818;7584;6237;4851;4598;4441;5411;6440;7848;8352;8672;8650;7748;6741;5684;4655;4200;4666;5107;6933;6210;7455;7243;6867;6915;6268;4478;5296;3958;4580;5241;5540;5586;7032;5569;5823;6276;4548;3617;3096;2305;2688;3437;3636;3351;4162;4283;4292;3921;3970;2939;2290;2280;2287;2067;2340;1941;2392;2297;2848;2603;2287;1571;1362;1208;1102;1274;1950;1732;1337;1301;1314;1113;1073;813;506;492;574;799;630;749;618;839;632;520;548;513;135;790005
"Soro anti-Botrópico-Crotálico (BC)";-;-;-;-;-;-;-;22;10;14;500;458;368;484;307;178;245;229;153;274;455;301;278;350;269;359;400;256;774;305;266;381;324;351;263;445;583;564;319;400;338;503;366;433;412;574;476;492;571;477;512;501;497;561;283;526;558;498;529;593;648;785;623;479;501;416;513;599;466;455;593;501;649;693;628;870;534;595;575;345;547;433;894;841;821;661;944;544;614;573;524;435;740;556;886;960;968;1219;1096;821;688;512;497;397;689;566;668;678;820;894;589;587;549;422;550;469;548;687;575;767;629;738;538;433;691;473;463;551;529;399;822;893;583;732;557;601;514;382;297;335;232;337;307;343;472;400;455;474;573;221;222;232;367;503;179;358;202;111;96;158;77;42;168;66;101;118;15;24;19;60;58;158;34;11;22;48;87;31;157;42;64;12;45;38;10;78191
"Soro anti-Botrópico-Laquético (BL)";-;-;-;-;-;-;-;72;200;54;151;143;215;227;357;314;389;464;221;306;195;219;175;209;206;296;260;333;349;179;287;237;340;382;805;633;643;511;506;339;505;319;300;418;385;454;830;883;761;785;747;647;606;599;439;532;529;600;564;739;898;776;787;690;880;512;514;619;686;638;1101;887;861;1014;981;947;997;931;751;889;852;749;1249;1350;1414;1423;1374;1139;1094;632;871;834;919;1173;1259;1346;1453;1363;1460;1031;933;686;624;686;776;1005;1007;1025;1239;1212;1056;933;1069;771;640;673;887;717;1077;1000;770;1067;770;558;689;426;552;377;402;431;775;619;474;535;499;476;540;350;361;410;301;495;453;632;590;634;535;544;376;330;259;367;284;184;259;325;250;218;128;185;109;49;119;49;115;139;73;36;40;81;56;54;28;31;76;40;45;56;100;59;25;27;119;40;25;99240
"Soro anti-Botulínico (BTU)";-;-;-;-;-;-;-;-;-;-;54;40;3;2;17;-;-;-;-;19;3;3;19;14;-;43;2;6;-;11;-;35;-;2;3;17;2;11;22;4;3;8;19;48;13;4;4;9;38;6;2;-;14;6;12;12;10;-;18;20;9;2;8;15;5;4;-;-;49;6;76;4;51;39;7;-;2;36;9;-;6;12;12;16;-;9;11;21;4;7;-;8;51;147;22;6;29;4;25;7;13;90;48;77;39;13;1;21;20;25;4;94;69;-;18;1;65;-;45;-;8;3;22;5;95;37;35;1;11;141;90;19;28;7;16;48;27;1;39;4;94;24;7;6;49;11;22;59;1;18;2;7;4;16;26;66;2;29;6;4;2;1;22;-;7;73;3;3;11;4;-;2;64;-;10;44;16;12;-;10;19;-;1;-;-;3334
"Soro anti-Crotálico (CR)";-;-;-;-;-;-;-;12;-;9;282;204;388;282;370;159;235;131;143;198;357;367;346;321;307;449;484;368;304;230;228;323;212;262;591;561;871;574;450;458;374;340;365;545;562;487;576;593;735;803;491;473;453;369;386;409;512;618;1028;843;847;1017;771;858;771;401;518;807;757;781;999;1004;1274;662;772;796;813;761;755;841;956;786;1475;1189;1234;1324;929;694;723;690;508;792;1108;797;1273;1350;1255;1295;1383;949;846;664;682;653;913;1266;994;1272;1352;1107;975;672;795;555;525;657;634;994;1033;827;1021;1105;823;578;712;505;404;590;789;659;1093;775;749;858;745;613;415;377;503;519;629;553;750;594;696;505;440;334;304;383;392;362;383;332;208;506;363;378;360;315;259;226;99;202;244;196;175;237;168;217;127;153;101;69;229;206;187;126;75;146;128;33;106;61;4;102163
"Soro anti-Diftérico (SAD)";-;-;-;-;-;-;-;-;21;2;23;1;24;26;20;10;17;68;2;37;58;1;29;44;17;47;25;37;64;121;21;42;35;58;10;21;43;42;83;28;12;9;36;19;45;13;25;73;27;86;14;85;30;14;8;8;32;43;42;45;12;17;152;67;13;69;66;34;31;35;10;197;8;89;34;10;19;8;34;27;7;34;42;61;10;91;183;25;11;13;6;32;18;24;24;6;19;3;43;25;13;32;99;83;121;28;76;46;28;35;62;136;48;28;49;35;105;41;43;16;208;49;57;45;128;49;14;66;25;46;29;4;17;29;46;-;68;6;49;43;24;2;238;12;31;35;36;24;12;25;3;67;31;4;13;1;6;-;1;7;31;3;-;57;34;56;2;14;-;9;500;3;-;8;13;-;-;31;32;-;-;22;20;16;10;6887
"Soro anti-Elapídico (LP)";-;-;-;-;-;-;-;10;10;1;15;33;45;44;24;60;20;25;15;46;10;29;24;25;29;55;46;36;49;42;26;14;65;24;57;57;80;85;110;98;95;70;21;26;54;69;41;102;147;35;58;93;85;33;95;59;46;60;91;102;20;199;73;73;49;100;51;86;108;100;79;132;105;105;121;58;110;132;82;104;76;102;195;79;134;155;89;89;76;94;56;103;74;54;63;40;64;163;160;84;103;80;138;75;109;79;128;95;87;182;138;72;40;54;62;76;111;52;133;122;116;117;119;30;92;106;72;94;52;109;61;37;52;110;37;135;43;36;65;133;71;35;52;46;59;33;71;55;29;10;54;26;51;35;46;72;55;76;54;50;28;11;38;42;45;31;1;37;20;27;26;10;12;4;9;67;45;49;33;15;22;25;26;37;9;11729
"Soro anti-Escorpiônico (ES)";-;-;-;-;-;-;-;1;15;35;342;281;382;474;646;458;511;538;532;612;627;618;606;593;503;607;574;526;594;676;750;701;666;671;763;621;663;636;558;627;601;720;722;754;813;1113;890;685;824;820;816;749;801;654;834;916;1009;744;837;834;859;1065;1027;1099;1020;1246;1122;1215;1113;1317;1562;1458;1422;1304;1282;1201;1491;1439;1573;1434;1430;1484;1494;1308;1386;1205;1232;1187;1241;1252;1408;1381;1478;1270;1521;1314;1393;1420;1382;1597;1398;1492;1247;1591;1534;1584;1680;1550;1610;1576;1864;1506;1413;1438;1669;1527;1877;1551;1596;1495;1409;1470;1610;1514;2011;1922;1940;2478;2096;1683;2160;1506;1361;1381;1477;1234;1240;1209;1179;1240;1211;1172;984;824;856;860;1404;952;1008;783;868;651;850;537;511;590;557;632;516;463;507;482;460;556;338;346;251;228;218;179;221;176;188;247;296;213;362;188;173;96;134;118;103;140;85;172027
"Soro anti-Laquético";-;-;-;-;-;-;-;-;-;-;6;13;2;9;14;5;11;28;-;17;5;10;11;12;3;23;5;5;29;3;2;32;48;30;14;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;339
"Soro anti-Latrodectus (LT)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;10;-;3;-;144;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;5;-;-;-;-;-;-;-;-;11;2;-;-;11;-;1;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;4;3;-;-;-;4;-;-;15;12;-;1;2;-;-;2;51;1;2;-;-;-;-;3;-;2;5;20;2;-;5;25;6;19;4;16;-;-;34;3;-;19;-;1;2;7;1;1;13;2;3;3;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;519
"Soro anti-Lonomia (LN)";-;-;-;-;-;-;-;-;-;-;73;83;83;51;6;3;-;-;-;-;33;27;205;127;74;7;3;6;-;-;1;2;26;16;88;107;71;30;74;22;69;1;6;19;14;58;96;148;68;30;81;4;5;-;-;9;14;60;114;138;92;77;31;5;28;1;24;24;40;80;123;132;91;79;41;36;29;6;-;14;23;106;188;104;58;27;20;13;-;-;5;3;31;32;142;126;89;57;15;6;34;6;10;1;16;101;76;74;59;21;32;11;5;15;10;13;-;65;46;95;34;15;17;25;9;3;8;16;20;45;57;64;31;40;15;42;1;10;27;2;24;37;84;63;23;9;19;-;7;5;1;11;25;14;47;21;6;35;15;5;-;9;9;1;14;37;-;-;10;-;15;3;10;-;-;10;-;23;-;15;-;-;-;-;-;5928
"Soro anti-Loxocélico (LX)";-;-;-;-;-;-;-;-;-;-;58;57;50;56;37;27;17;28;42;84;81;29;22;40;28;39;44;22;27;13;34;71;41;55;42;44;73;12;34;11;40;57;36;17;41;97;126;125;94;68;77;30;18;37;34;119;116;476;131;120;105;71;86;27;40;12;62;237;228;140;148;139;61;28;25;23;17;41;35;124;39;309;154;150;153;57;97;82;51;155;153;159;274;232;221;248;207;139;70;60;52;81;142;257;318;253;274;348;253;103;51;30;53;112;222;155;284;266;401;359;366;235;239;93;84;86;244;281;415;119;118;69;47;38;24;15;7;11;11;29;73;14;19;8;69;7;1;2;10;10;5;6;22;28;16;11;30;10;5;1;3;3;4;9;-;10;10;15;-;-;-;4;67;5;10;-;-;-;-;10;5;-;-;-;-;14783
"Soro anti-Rábico (RB)";-;-;-;-;-;-;-;361;819;528;1892;1633;2170;3151;3125;2330;2364;2320;2622;1811;2059;2103;2397;2165;2092;2306;2543;4341;3373;3311;2793;2936;3143;2746;3787;3531;3611;3005;3493;3619;3530;3784;3724;3487;3401;3880;4375;3943;4159;3510;3603;3836;4073;4142;3592;3480;3780;3857;4811;4648;3943;4548;3486;3328;3613;4296;4352;4571;4879;5430;5576;5595;5521;5381;5106;4717;11999;7778;5056;9389;10594;6439;7261;8113;7815;4799;9567;8909;7576;5355;8466;10794;8606;24753;19861;8763;5544;5785;8552;5136;5820;6599;6010;5928;6648;6877;7156;6177;6776;6732;7455;5474;6768;7172;6937;6492;8334;7312;5754;6578;5700;10657;6282;5489;6797;6388;6892;7113;7095;13170;8556;7414;6661;6461;6918;6545;5850;5262;4505;3441;3589;3773;3416;3835;3506;3519;2843;2418;2064;2400;2539;2663;2796;2602;2478;1800;1325;1279;2045;1906;2371;2075;2162;2062;2388;1869;2132;1848;1828;2207;1354;2041;2407;2570;2328;2609;2094;2080;1761;1373;1288;1754;2039;1810;1207;825995
"Soro anti-Tetânico (SAT)";-;-;-;-;-;-;-;76;183;309;1930;1716;1758;2175;2159;2189;2338;2317;2830;3110;2287;2706;3152;2618;2405;2101;2889;2923;2266;2740;3132;3170;3034;3545;3002;3200;2911;2935;2301;2746;2398;3025;3457;2656;2906;2949;3570;3094;3660;3418;3761;2653;3517;2892;3507;3187;3731;3420;3944;4119;3512;3566;3319;3005;3412;3408;3750;3517;3476;3531;3616;3563;3580;3990;3743;4223;3629;8742;3782;3983;4296;4565;7174;7484;8164;3811;4190;18463;3857;3942;9672;3977;6110;4330;9418;9355;4177;4318;4159;4330;3954;4058;4079;4552;4317;4534;4474;4873;4788;4312;4295;4189;4345;4497;4184;4757;4298;3906;4553;4264;4482;3625;4290;3542;4528;3991;4777;5358;5286;4610;4907;3932;3684;2181;1795;1355;1829;1752;1798;2255;2350;2899;2091;2114;2032;2427;2189;1559;1135;1211;1164;876;794;710;1360;753;895;559;959;1283;965;1300;949;705;1113;1627;1266;1107;1152;1181;899;756;567;210;254;211;381;243;129;143;378;227;393;348;220;551446
"Cólera";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Esq.Seq. VIP/VOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;426;438;226;318;663;5342;10618;151995;249644;369270;453931;468057;687124;676881;683507;762678;682483;894885;823607;1007336;1191528;871839;849082;773063;1021910;822218;814209;840280;810883;774471;877336;846520;843075;809039;1119244;701291;775724;683811;760968;688563;753069;671699;685833;655434;682078;567609;562189;485882;234057;138482;125253;82392;78880;74153;70112;68608;94441;85654;67650;81645;42378;34362;400922;31549;33200;32015;28047;29880;26781;24729;25870;20281;25341;20308;18748;20367;22487;18306;9557;31934731
